idade,sexo,trabalho,moradia,conta_poupanca,conta_corrente,quantidade_credito,duracao,objetivo,pagamento_realizado
25,masculino,2,própria,não possui,moderado,1484,12,rádio/TV,1
23,masculino,1,alugada,bastante,não possui,660,6,reparos,1
37,feminino,2,própria,rico,não possui,1287,24,carro,0
65,masculino,0,própria,pouco,pouco,3394,42,reparos,0
26,feminino,0,própria,pouco,rico,609,12,negócios,0
39,masculino,3,própria,pouco,não possui,1884,12,carro,0
30,feminino,2,própria,pouco,pouco,1620,12,móveis/equipamentos,0
29,masculino,2,própria,pouco,moderado,2629,20,férias/outros,1
41,masculino,1,própria,pouco,não possui,719,12,educação,0
30,feminino,3,própria,pouco,moderado,5096,48,móveis/equipamentos,0
41,feminino,1,alugada,não possui,não possui,1244,9,educação,1
34,feminino,2,própria,pouco,pouco,1842,36,carro,0
35,masculino,2,própria,pouco,moderado,2576,7,rádio/TV,1
55,feminino,3,própria,não possui,rico,1424,12,móveis/equipamentos,0
61,masculino,2,própria,rico,moderado,1512,15,reparos,0
30,masculino,3,própria,não possui,não possui,11054,36,carro,1
29,feminino,2,própria,pouco,não possui,518,6,rádio/TV,1
34,masculino,2,própria,pouco,não possui,2759,12,móveis/equipamentos,0
35,masculino,3,própria,pouco,não possui,2670,24,carro,0
31,masculino,2,própria,pouco,pouco,4817,24,carro,0
29,feminino,3,própria,pouco,não possui,2679,24,carro,0
36,masculino,2,alugada,pouco,pouco,3905,11,carro,1
35,masculino,2,gratuita,pouco,pouco,3386,12,carro,0
27,feminino,2,própria,pouco,pouco,343,6,eletrodomésticos,1
32,masculino,2,própria,pouco,não possui,4594,18,rádio/TV,0
37,masculino,2,própria,pouco,pouco,3620,36,móveis/equipamentos,0
36,masculino,2,própria,pouco,pouco,1721,15,carro,0
34,feminino,3,alugada,pouco,moderado,3017,12,móveis/equipamentos,0
38,masculino,2,própria,não possui,moderado,754,12,educação,0
34,masculino,2,própria,pouco,não possui,1950,18,negócios,0
63,masculino,2,própria,pouco,pouco,2924,24,carro,0
29,feminino,1,alugada,pouco,pouco,1659,24,rádio/TV,1
32,masculino,2,própria,não possui,não possui,7238,48,rádio/TV,0
26,feminino,2,própria,pouco,não possui,2764,33,negócios,0
35,masculino,1,própria,pouco,não possui,4679,24,carro,0
22,masculino,2,alugada,moderado,moderado,3092,24,rádio/TV,1
23,feminino,2,própria,pouco,pouco,448,6,educação,1
28,masculino,1,própria,pouco,pouco,654,9,carro,1
36,masculino,3,própria,não possui,não possui,1238,6,educação,1
33,masculino,2,própria,pouco,moderado,1245,18,rádio/TV,0
26,feminino,2,alugada,pouco,pouco,3114,18,móveis/equipamentos,0
24,masculino,2,própria,bastante,não possui,2569,39,carro,1
25,masculino,2,própria,pouco,rico,5152,24,rádio/TV,1
39,masculino,1,própria,moderado,moderado,1037,12,negócios,0
44,masculino,2,própria,pouco,pouco,1478,15,móveis/equipamentos,0
23,feminino,1,própria,pouco,moderado,3573,12,rádio/TV,1
26,masculino,2,própria,pouco,moderado,1201,24,carro,1
57,feminino,2,alugada,rico,pouco,3622,30,móveis/equipamentos,1
30,feminino,2,própria,rico,não possui,960,15,móveis/equipamentos,0
44,masculino,2,própria,bastante,não possui,1163,12,carro,0
47,masculino,3,própria,pouco,moderado,1209,6,carro,1
52,masculino,2,própria,pouco,não possui,3077,12,rádio/TV,0
62,feminino,2,gratuita,pouco,não possui,3757,24,carro,1
35,masculino,1,alugada,moderado,não possui,1418,10,carro,1
26,masculino,2,alugada,pouco,não possui,3518,6,carro,1
26,masculino,2,própria,pouco,não possui,1934,12,rádio/TV,1
42,feminino,3,gratuita,pouco,moderado,8318,27,negócios,0
27,feminino,2,própria,moderado,não possui,1237,6,rádio/TV,1
38,masculino,2,própria,não possui,moderado,368,6,rádio/TV,1
39,masculino,1,alugada,pouco,pouco,2122,12,carro,0
20,masculino,2,própria,não possui,pouco,2996,24,móveis/equipamentos,1
29,masculino,3,alugada,moderado,moderado,9034,36,móveis/equipamentos,0
40,masculino,2,própria,pouco,não possui,1585,24,móveis/equipamentos,0
32,masculino,1,própria,pouco,moderado,1301,18,rádio/TV,0
28,masculino,2,própria,moderado,rico,1323,6,carro,1
27,feminino,2,própria,pouco,pouco,3123,24,carro,0
42,masculino,2,gratuita,pouco,pouco,5493,36,carro,0
49,masculino,2,própria,moderado,rico,1126,9,rádio/TV,1
38,masculino,2,própria,moderado,moderado,1216,24,rádio/TV,0
24,feminino,2,alugada,pouco,pouco,1207,24,carro,0
27,masculino,1,própria,não possui,não possui,1309,10,carro,1
36,masculino,2,própria,bastante,rico,2360,15,carro,0
34,masculino,3,própria,moderado,moderado,6850,15,carro,0
28,masculino,2,própria,pouco,não possui,1413,24,rádio/TV,1
45,masculino,3,própria,moderado,não possui,8588,39,carro,1
26,masculino,2,própria,pouco,pouco,759,12,carro,1
32,masculino,3,gratuita,pouco,não possui,4686,36,carro,0
26,masculino,2,alugada,pouco,rico,2687,15,negócios,1
20,masculino,2,alugada,pouco,moderado,585,12,rádio/TV,1
54,masculino,2,própria,não possui,não possui,2255,24,carro,0
37,feminino,2,própria,pouco,pouco,609,6,carro,1
40,masculino,1,própria,pouco,pouco,1361,6,carro,1
23,feminino,2,alugada,pouco,não possui,7127,36,móveis/equipamentos,0
43,masculino,2,própria,moderado,pouco,1203,6,carro,1
36,masculino,2,gratuita,não possui,não possui,700,6,rádio/TV,1
44,masculino,2,gratuita,pouco,não possui,5507,24,reparos,0
24,feminino,2,própria,pouco,pouco,3190,18,rádio/TV,0
53,masculino,2,gratuita,pouco,pouco,7119,48,móveis/equipamentos,0
23,feminino,2,própria,moderado,não possui,3488,24,carro,0
26,feminino,1,própria,pouco,moderado,1113,18,rádio/TV,1
30,masculino,2,própria,pouco,moderado,7966,26,carro,0
31,feminino,2,própria,moderado,não possui,1532,15,educação,0
42,masculino,1,própria,pouco,não possui,1503,4,rádio/TV,1
31,masculino,2,alugada,pouco,pouco,2302,36,rádio/TV,0
41,masculino,1,própria,pouco,pouco,662,6,carro,1
32,masculino,2,própria,pouco,moderado,2273,36,educação,0
28,feminino,2,alugada,moderado,moderado,2631,15,carro,0
41,masculino,2,alugada,pouco,não possui,1503,12,carro,0
26,masculino,2,própria,moderado,não possui,1311,24,rádio/TV,1
25,masculino,2,própria,não possui,não possui,3105,24,rádio/TV,1
33,masculino,2,alugada,pouco,rico,2319,21,educação,0
75,feminino,3,própria,não possui,pouco,1374,6,carro,1
37,feminino,2,própria,pouco,moderado,3612,18,móveis/equipamentos,0
42,masculino,3,gratuita,pouco,pouco,7763,48,carro,1
45,feminino,1,própria,pouco,rico,3049,18,móveis/equipamentos,0
23,masculino,2,alugada,pouco,moderado,1534,12,rádio/TV,1
60,masculino,2,gratuita,pouco,não possui,2032,24,carro,0
31,masculino,2,própria,não possui,pouco,6350,30,móveis/equipamentos,0
34,masculino,1,própria,pouco,rico,2864,18,móveis/equipamentos,0
61,masculino,1,própria,pouco,não possui,1255,12,carro,0
43,masculino,2,gratuita,pouco,pouco,1333,24,carro,0
37,feminino,2,própria,pouco,não possui,2022,24,carro,0
32,masculino,2,própria,pouco,não possui,1552,24,rádio/TV,0
24,feminino,1,própria,pouco,pouco,626,12,rádio/TV,1
35,masculino,2,gratuita,não possui,não possui,8858,48,carro,0
23,feminino,2,própria,não possui,não possui,996,12,reparos,0
45,masculino,1,própria,bastante,não possui,1750,6,rádio/TV,1
34,masculino,2,própria,pouco,pouco,6999,48,rádio/TV,0
27,masculino,2,própria,moderado,moderado,1995,12,carro,1
67,feminino,3,própria,pouco,moderado,1199,9,educação,1
22,masculino,2,própria,pouco,moderado,1331,12,rádio/TV,1
28,feminino,2,própria,moderado,moderado,2278,18,carro,0
29,feminino,2,própria,não possui,não possui,5003,21,carro,0
27,masculino,2,própria,pouco,pouco,3552,24,móveis/equipamentos,1
31,masculino,1,própria,pouco,moderado,1928,18,móveis/equipamentos,0
49,masculino,2,gratuita,não possui,pouco,2964,24,carro,0
24,masculino,1,alugada,pouco,pouco,1546,24,rádio/TV,0
29,feminino,2,própria,pouco,rico,683,6,rádio/TV,1
37,masculino,2,gratuita,não possui,moderado,12389,36,carro,1
37,masculino,3,própria,não possui,moderado,4712,24,negócios,0
23,feminino,2,alugada,moderado,moderado,1553,24,rádio/TV,0
36,masculino,2,própria,pouco,pouco,1372,12,carro,0
34,masculino,2,própria,rico,não possui,2578,24,rádio/TV,0
41,masculino,2,própria,não possui,moderado,3979,48,rádio/TV,0
31,feminino,2,própria,pouco,pouco,6758,48,rádio/TV,0
23,feminino,1,alugada,pouco,pouco,3234,24,móveis/equipamentos,1
38,masculino,2,própria,pouco,não possui,5954,30,rádio/TV,0
26,feminino,3,alugada,não possui,não possui,5433,24,carro,0
22,feminino,1,própria,pouco,pouco,806,15,negócios,1
27,masculino,1,própria,pouco,moderado,1082,9,rádio/TV,1
24,feminino,2,própria,pouco,não possui,2788,15,móveis/equipamentos,0
27,feminino,2,própria,pouco,moderado,2930,12,rádio/TV,0
33,feminino,2,própria,não possui,não possui,1927,24,educação,0
27,masculino,2,própria,pouco,moderado,2820,36,carro,1
27,masculino,1,própria,pouco,não possui,937,24,educação,0
30,masculino,2,própria,pouco,moderado,1056,18,carro,0
49,masculino,1,própria,pouco,moderado,3124,12,carro,0
26,feminino,2,alugada,pouco,não possui,1388,9,móveis/equipamentos,1
33,masculino,1,alugada,pouco,moderado,2384,36,reparos,0
52,feminino,3,gratuita,não possui,não possui,2133,12,carro,0
20,feminino,2,alugada,pouco,pouco,2039,18,móveis/equipamentos,0
36,masculino,2,alugada,pouco,pouco,2799,9,carro,1
21,masculino,1,própria,pouco,pouco,1289,12,móveis/equipamentos,0
47,masculino,1,própria,pouco,pouco,1217,18,eletrodomésticos,0
60,masculino,2,própria,pouco,pouco,2246,12,móveis/equipamentos,0
58,feminino,1,própria,pouco,pouco,385,12,rádio/TV,0
42,feminino,2,alugada,não possui,moderado,1965,24,carro,1
36,feminino,1,própria,rico,não possui,1572,21,negócios,0
20,feminino,1,alugada,pouco,moderado,2718,24,carro,1
40,masculino,3,própria,não possui,pouco,1358,24,férias/outros,0
32,feminino,1,própria,moderado,moderado,931,6,carro,1
23,feminino,2,alugada,pouco,pouco,1442,24,carro,0
36,masculino,1,própria,pouco,moderado,4241,24,negócios,0
31,masculino,2,própria,pouco,não possui,2775,18,carro,0
32,masculino,2,gratuita,pouco,não possui,3863,24,negócios,0
45,feminino,2,própria,pouco,moderado,2329,7,rádio/TV,1
30,feminino,2,própria,pouco,moderado,918,9,móveis/equipamentos,1
34,feminino,1,gratuita,pouco,moderado,1837,24,educação,0
28,feminino,3,própria,pouco,não possui,3349,36,móveis/equipamentos,0
23,feminino,2,própria,pouco,rico,1275,10,móveis/equipamentos,1
22,masculino,2,própria,bastante,pouco,2828,24,móveis/equipamentos,1
74,masculino,3,própria,pouco,não possui,4526,24,negócios,1
50,feminino,2,gratuita,moderado,moderado,2671,36,rádio/TV,1
33,masculino,2,própria,pouco,não possui,2051,18,rádio/TV,0
45,masculino,2,gratuita,não possui,não possui,1300,15,carro,0
22,feminino,2,própria,moderado,pouco,741,12,eletrodomésticos,0
48,feminino,1,gratuita,moderado,rico,1240,10,carro,1
29,feminino,2,própria,rico,pouco,3357,21,rádio/TV,0
22,feminino,2,alugada,pouco,pouco,3632,24,carro,0
22,feminino,2,própria,pouco,não possui,1808,18,móveis/equipamentos,0
48,masculino,3,própria,não possui,moderado,12204,48,negócios,1
27,masculino,3,gratuita,não possui,moderado,9157,60,rádio/TV,0
37,masculino,2,alugada,pouco,pouco,3676,6,carro,1
21,feminino,2,alugada,moderado,moderado,3441,30,móveis/equipamentos,0
49,masculino,1,própria,pouco,não possui,640,12,carro,0
27,masculino,2,própria,pouco,moderado,3652,21,negócios,1
32,masculino,2,própria,pouco,não possui,1530,18,carro,0
38,masculino,2,própria,não possui,não possui,3914,48,negócios,0
22,feminino,2,alugada,pouco,pouco,1858,12,móveis/equipamentos,0
65,masculino,2,gratuita,pouco,pouco,2600,18,rádio/TV,0
35,masculino,2,própria,não possui,não possui,1979,15,rádio/TV,0
41,masculino,2,própria,pouco,rico,2116,6,móveis/equipamentos,1
29,masculino,2,própria,moderado,moderado,1437,9,carro,1
36,masculino,2,própria,bastante,não possui,4042,42,móveis/equipamentos,0
64,masculino,1,própria,não possui,não possui,3832,9,educação,1
28,feminino,2,própria,pouco,pouco,3660,24,rádio/TV,0
44,masculino,2,própria,pouco,pouco,1553,18,móveis/equipamentos,0
23,masculino,2,própria,não possui,moderado,1444,15,rádio/TV,1
19,feminino,2,alugada,pouco,não possui,1980,9,móveis/equipamentos,1
25,feminino,1,própria,pouco,moderado,1355,24,carro,1
47,masculino,2,própria,pouco,não possui,1393,12,educação,0
28,feminino,2,própria,bastante,não possui,1376,24,rádio/TV,0
21,masculino,2,própria,pouco,não possui,15653,60,rádio/TV,1
34,feminino,2,própria,pouco,não possui,1493,12,rádio/TV,0
26,masculino,2,própria,pouco,pouco,4370,42,rádio/TV,1
27,feminino,0,própria,pouco,pouco,750,18,educação,0
38,masculino,1,própria,pouco,moderado,1308,15,reparos,0
40,masculino,3,própria,moderado,não possui,4623,15,educação,0
33,masculino,2,própria,pouco,não possui,1851,24,rádio/TV,0
32,masculino,3,própria,pouco,pouco,1880,18,rádio/TV,0
27,masculino,2,alugada,não possui,não possui,7980,36,negócios,1
32,masculino,2,própria,pouco,pouco,4583,30,móveis/equipamentos,0
26,feminino,2,própria,bastante,não possui,1386,12,carro,0
38,masculino,2,gratuita,pouco,rico,947,24,carro,0
40,masculino,1,alugada,pouco,pouco,684,12,educação,0
50,masculino,3,gratuita,pouco,pouco,7476,48,educação,1
37,masculino,1,própria,pouco,moderado,1922,12,móveis/equipamentos,0
45,masculino,2,própria,pouco,pouco,2303,24,carro,0
42,masculino,3,própria,moderado,moderado,8086,36,carro,1
35,masculino,2,própria,pouco,não possui,2346,24,carro,0
22,masculino,2,gratuita,pouco,pouco,3973,14,carro,1
41,masculino,1,própria,pouco,moderado,888,12,carro,0
37,masculino,2,própria,não possui,não possui,10222,48,rádio/TV,1
28,feminino,2,própria,pouco,moderado,4221,30,negócios,0
41,masculino,2,própria,pouco,moderado,6361,18,móveis/equipamentos,0
23,masculino,2,alugada,pouco,rico,1297,12,rádio/TV,1
23,masculino,2,própria,não possui,pouco,900,12,carro,1
50,masculino,2,própria,pouco,não possui,2241,21,móveis/equipamentos,0
35,masculino,3,própria,pouco,moderado,1050,6,móveis/equipamentos,1
50,feminino,1,própria,pouco,rico,1047,6,educação,1
27,masculino,3,própria,pouco,não possui,6314,24,férias/outros,0
34,masculino,2,própria,rico,moderado,3496,30,móveis/equipamentos,0
27,feminino,2,própria,pouco,não possui,3609,48,negócios,0
43,masculino,2,alugada,pouco,pouco,4843,12,carro,0
47,masculino,2,própria,pouco,rico,3017,30,rádio/TV,0
27,masculino,1,própria,moderado,não possui,4139,24,negócios,0
31,masculino,2,própria,moderado,não possui,5742,36,negócios,0
42,masculino,3,própria,pouco,não possui,10366,60,carro,1
24,masculino,2,própria,bastante,não possui,2080,6,carro,1
41,masculino,1,própria,bastante,não possui,2580,21,negócios,0
26,feminino,3,alugada,pouco,não possui,4530,30,rádio/TV,0
33,masculino,2,própria,pouco,não possui,5150,24,móveis/equipamentos,0
24,masculino,2,própria,moderado,moderado,5595,72,rádio/TV,1
64,masculino,1,alugada,pouco,pouco,2384,24,rádio/TV,0
26,feminino,2,própria,pouco,não possui,1453,18,rádio/TV,0
56,feminino,2,própria,pouco,não possui,1538,6,educação,1
37,masculino,2,gratuita,não possui,não possui,2279,12,rádio/TV,0
33,masculino,2,própria,pouco,não possui,1478,15,rádio/TV,0
47,masculino,2,gratuita,pouco,não possui,5103,24,rádio/TV,0
31,masculino,1,própria,moderado,moderado,9857,36,negócios,0
34,masculino,2,gratuita,não possui,não possui,6527,60,carro,0
27,masculino,2,própria,não possui,rico,1347,10,rádio/TV,1
30,masculino,2,gratuita,moderado,moderado,2862,36,carro,0
35,masculino,2,própria,moderado,não possui,2753,9,rádio/TV,1
31,masculino,2,própria,rico,pouco,3651,12,carro,0
25,masculino,2,própria,pouco,pouco,975,15,móveis/equipamentos,1
25,feminino,1,própria,moderado,moderado,2631,15,reparos,1
29,masculino,2,própria,moderado,moderado,2896,24,rádio/TV,1
44,masculino,1,própria,não possui,pouco,4716,6,carro,1
28,masculino,2,própria,pouco,não possui,2284,24,rádio/TV,1
50,masculino,2,alugada,bastante,não possui,1236,6,carro,1
29,masculino,2,própria,pouco,moderado,1103,12,rádio/TV,1
38,feminino,0,própria,pouco,não possui,926,12,carro,0
24,masculino,2,própria,pouco,não possui,1800,18,rádio/TV,1
40,masculino,3,alugada,pouco,rico,1905,15,educação,0
29,feminino,1,alugada,bastante,não possui,1123,12,móveis/equipamentos,1
46,masculino,2,gratuita,pouco,pouco,6331,48,carro,0
47,feminino,2,gratuita,moderado,rico,1377,24,rádio/TV,1
41,masculino,2,própria,moderado,moderado,2503,30,negócios,0
32,feminino,2,própria,pouco,moderado,2528,27,negócios,0
35,feminino,2,gratuita,bastante,não possui,5324,15,carro,0
24,masculino,2,própria,moderado,moderado,6560,48,carro,1
25,feminino,2,alugada,pouco,moderado,2969,12,móveis/equipamentos,0
25,feminino,2,própria,pouco,moderado,1206,9,rádio/TV,1
37,masculino,1,própria,pouco,moderado,2118,9,rádio/TV,1
32,masculino,3,própria,bastante,não possui,629,18,rádio/TV,0
35,feminino,2,gratuita,pouco,pouco,1198,6,educação,1
46,masculino,3,própria,não possui,não possui,2476,21,carro,1
25,masculino,1,própria,pouco,pouco,1138,9,rádio/TV,1
27,masculino,3,própria,pouco,moderado,14027,60,carro,1
63,masculino,2,própria,não possui,não possui,7596,30,carro,0
40,masculino,2,própria,não possui,não possui,3077,30,rádio/TV,0
32,masculino,3,gratuita,pouco,não possui,1505,18,rádio/TV,0
31,masculino,2,própria,não possui,rico,3148,24,rádio/TV,0
31,masculino,2,própria,moderado,moderado,6148,20,carro,0
34,masculino,3,própria,pouco,rico,1337,9,rádio/TV,1
24,feminino,2,alugada,rico,moderado,433,6,educação,1
24,feminino,1,própria,pouco,pouco,1228,12,carro,1
66,feminino,1,própria,bastante,moderado,790,9,rádio/TV,1
21,feminino,2,alugada,pouco,não possui,2570,27,carro,0
41,feminino,1,própria,rico,não possui,250,6,carro,1
47,masculino,1,própria,bastante,não possui,1316,15,rádio/TV,0
25,feminino,2,alugada,pouco,pouco,1882,18,rádio/TV,0
59,feminino,2,alugada,pouco,moderado,6416,48,negócios,1
36,masculino,2,própria,rico,rico,1275,24,negócios,0
33,masculino,2,própria,pouco,moderado,6403,24,rádio/TV,0
21,masculino,1,alugada,pouco,pouco,1987,24,rádio/TV,0
44,feminino,1,própria,pouco,moderado,760,8,rádio/TV,1
28,feminino,2,alugada,rico,não possui,2603,24,carro,0
37,feminino,2,própria,pouco,não possui,3380,4,carro,1
29,feminino,0,própria,não possui,moderado,3990,36,eletrodomésticos,0
23,feminino,3,alugada,pouco,moderado,11560,24,carro,0
35,masculino,1,própria,moderado,pouco,4380,18,carro,0
45,masculino,3,própria,pouco,não possui,6761,6,carro,1
26,feminino,1,alugada,moderado,moderado,4280,30,negócios,1
32,masculino,2,própria,moderado,pouco,2325,24,carro,0
23,masculino,1,própria,pouco,moderado,1048,10,rádio/TV,1
41,masculino,2,própria,não possui,não possui,3160,21,rádio/TV,0
22,masculino,2,própria,bastante,pouco,2483,24,móveis/equipamentos,1
30,masculino,3,própria,não possui,pouco,14179,39,móveis/equipamentos,1
28,masculino,1,própria,pouco,pouco,1797,13,negócios,0
23,feminino,2,alugada,pouco,pouco,2511,15,carro,0
37,feminino,1,própria,pouco,pouco,1274,12,carro,0
26,masculino,2,própria,não possui,não possui,5248,21,carro,1
33,masculino,2,própria,pouco,não possui,3029,15,carro,0
49,feminino,2,própria,pouco,pouco,428,6,móveis/equipamentos,1
23,feminino,1,própria,pouco,pouco,976,18,carro,1
23,feminino,1,alugada,moderado,moderado,841,12,negócios,1
25,feminino,2,própria,pouco,não possui,5771,30,rádio/TV,0
55,masculino,2,gratuita,rico,não possui,1555,12,reparos,0
32,feminino,2,alugada,não possui,pouco,1285,24,carro,0
74,masculino,0,própria,pouco,rico,1299,6,carro,1
39,masculino,2,gratuita,não possui,rico,1271,15,rádio/TV,0
31,masculino,2,própria,pouco,não possui,1393,24,carro,0
35,masculino,2,própria,pouco,pouco,691,12,carro,0
59,feminino,2,própria,não possui,não possui,5045,15,carro,1
24,feminino,2,alugada,pouco,pouco,2124,18,móveis/equipamentos,0
24,masculino,1,própria,pouco,pouco,2214,12,rádio/TV,0
30,masculino,3,gratuita,não possui,não possui,12680,21,carro,0
27,masculino,2,própria,moderado,não possui,2463,24,carro,1
40,masculino,1,própria,pouco,moderado,1155,12,rádio/TV,0
31,masculino,1,própria,pouco,pouco,3108,30,móveis/equipamentos,0
31,feminino,2,alugada,não possui,não possui,2901,10,carro,1
28,masculino,2,alugada,pouco,moderado,3617,12,móveis/equipamentos,1
63,masculino,1,própria,pouco,não possui,1655,12,rádio/TV,0
26,feminino,2,alugada,não possui,pouco,2812,24,carro,0
25,feminino,3,própria,pouco,pouco,8065,36,educação,0
36,masculino,3,própria,pouco,não possui,3275,21,carro,0
52,masculino,2,própria,moderado,não possui,2223,24,rádio/TV,0
66,masculino,0,gratuita,bastante,rico,1480,12,carro,0
25,feminino,2,alugada,não possui,pouco,1371,24,carro,0
37,masculino,2,própria,pouco,não possui,3535,36,carro,0
25,feminino,2,própria,pouco,pouco,3509,18,rádio/TV,0
38,masculino,3,própria,rico,não possui,5711,36,carro,0
67,feminino,2,própria,pouco,moderado,3872,18,reparos,1
25,masculino,2,própria,pouco,moderado,4933,39,rádio/TV,1
60,masculino,2,própria,rico,não possui,1940,24,carro,0
31,masculino,1,própria,pouco,moderado,1410,12,educação,0
23,feminino,1,própria,moderado,moderado,836,12,carro,1
60,masculino,3,própria,não possui,moderado,6468,20,carro,1
35,masculino,1,própria,rico,moderado,1941,18,negócios,0
40,masculino,2,própria,bastante,não possui,2675,22,rádio/TV,0
38,masculino,2,própria,não possui,não possui,2751,48,carro,0
50,masculino,2,gratuita,pouco,moderado,6224,48,educação,0
27,masculino,2,própria,pouco,pouco,5998,40,educação,1
39,feminino,2,própria,pouco,moderado,1188,21,negócios,0
41,masculino,3,própria,não possui,não possui,6313,24,carro,1
27,masculino,2,própria,não possui,não possui,1221,6,móveis/equipamentos,1
51,masculino,2,gratuita,pouco,rico,2892,24,móveis/equipamentos,0
32,masculino,2,alugada,bastante,não possui,3062,24,móveis/equipamentos,0
22,feminino,2,alugada,moderado,não possui,2301,9,móveis/equipamentos,1
51,masculino,2,gratuita,não possui,pouco,7511,18,carro,0
22,feminino,1,alugada,pouco,não possui,1258,12,móveis/equipamentos,1
54,masculino,2,própria,não possui,não possui,717,24,carro,0
35,masculino,0,própria,não possui,moderado,1549,9,carro,1
54,masculino,2,gratuita,pouco,não possui,1597,24,educação,0
48,feminino,1,alugada,pouco,moderado,1795,18,rádio/TV,0
24,feminino,2,própria,pouco,pouco,4272,20,móveis/equipamentos,0
35,masculino,2,própria,não possui,não possui,976,12,rádio/TV,0
24,feminino,0,alugada,não possui,moderado,7472,12,carro,0
24,masculino,2,própria,pouco,pouco,9271,36,carro,1
26,masculino,1,própria,pouco,moderado,590,6,rádio/TV,1
65,masculino,2,própria,não possui,não possui,930,12,rádio/TV,0
55,masculino,3,gratuita,pouco,moderado,9283,42,carro,1
26,feminino,0,alugada,pouco,moderado,1778,15,carro,0
26,masculino,2,própria,pouco,moderado,907,8,negócios,1
28,masculino,1,própria,pouco,moderado,484,6,rádio/TV,1
24,masculino,2,própria,pouco,pouco,9629,36,carro,1
54,masculino,2,própria,pouco,pouco,3051,48,eletrodomésticos,0
46,masculino,2,gratuita,pouco,pouco,3931,48,carro,0
54,feminino,2,alugada,pouco,moderado,7432,36,carro,1
62,masculino,2,própria,bastante,não possui,1338,6,eletrodomésticos,1
24,feminino,2,alugada,pouco,não possui,1554,6,rádio/TV,1
43,masculino,3,própria,pouco,pouco,15857,36,férias/outros,1
26,masculino,2,própria,pouco,pouco,1345,18,rádio/TV,1
27,masculino,2,própria,pouco,não possui,1101,12,carro,1
24,masculino,2,própria,pouco,rico,3016,12,rádio/TV,1
41,masculino,2,própria,pouco,pouco,2712,36,móveis/equipamentos,0
47,masculino,1,própria,pouco,pouco,731,8,carro,1
35,masculino,3,própria,pouco,não possui,3780,18,móveis/equipamentos,0
30,masculino,2,própria,pouco,pouco,1602,21,carro,0
33,feminino,2,alugada,pouco,pouco,3966,18,carro,0
36,masculino,2,própria,pouco,não possui,4165,18,negócios,0
47,masculino,2,gratuita,não possui,pouco,8335,36,carro,0
38,masculino,2,gratuita,não possui,moderado,6681,48,negócios,0
44,masculino,2,própria,bastante,não possui,2375,24,negócios,0
23,feminino,2,alugada,pouco,pouco,1216,18,carro,0
29,masculino,2,alugada,pouco,pouco,11816,45,negócios,1
42,feminino,2,própria,não possui,moderado,5084,24,rádio/TV,1
25,feminino,1,própria,pouco,rico,2327,15,rádio/TV,1
48,masculino,2,própria,pouco,pouco,1082,12,carro,0
21,feminino,2,própria,não possui,não possui,886,12,rádio/TV,0
23,feminino,1,alugada,pouco,não possui,601,4,móveis/equipamentos,1
63,masculino,2,própria,pouco,pouco,2957,24,carro,0
46,masculino,2,própria,pouco,não possui,2611,24,rádio/TV,0
29,masculino,2,própria,pouco,pouco,5179,36,móveis/equipamentos,1
28,masculino,1,própria,pouco,não possui,2993,21,carro,0
23,feminino,2,própria,pouco,não possui,1943,18,reparos,0
50,masculino,2,própria,pouco,não possui,1559,24,negócios,0
47,masculino,2,própria,pouco,não possui,3422,18,móveis/equipamentos,0
35,masculino,2,própria,não possui,moderado,3976,21,móveis/equipamentos,0
68,masculino,2,alugada,não possui,não possui,6761,18,carro,0
28,masculino,2,própria,pouco,não possui,1249,24,carro,1
59,masculino,2,própria,pouco,pouco,1364,9,rádio/TV,1
57,masculino,1,própria,pouco,pouco,709,12,rádio/TV,0
33,masculino,2,alugada,pouco,pouco,2235,20,carro,0
43,masculino,2,própria,não possui,não possui,4042,24,carro,0
35,masculino,2,gratuita,pouco,não possui,1471,15,rádio/TV,0
32,masculino,1,gratuita,pouco,pouco,1442,18,carro,0
45,masculino,2,própria,pouco,não possui,10875,36,carro,1
33,masculino,2,própria,moderado,não possui,1474,24,carro,0
40,feminino,2,própria,não possui,não possui,894,10,educação,1
28,masculino,2,gratuita,pouco,não possui,3343,15,móveis/equipamentos,1
29,feminino,2,própria,pouco,pouco,3959,15,carro,0
26,masculino,2,alugada,moderado,não possui,3577,9,carro,1
27,masculino,2,própria,rico,não possui,5804,24,carro,1
28,masculino,2,própria,pouco,não possui,2169,18,negócios,1
35,feminino,2,própria,pouco,pouco,2439,24,rádio/TV,0
32,masculino,1,própria,rico,não possui,4526,27,móveis/equipamentos,0
25,masculino,1,alugada,pouco,não possui,2210,10,móveis/equipamentos,1
20,feminino,2,alugada,bastante,não possui,2221,15,móveis/equipamentos,0
27,feminino,2,própria,pouco,pouco,2389,18,rádio/TV,0
42,masculino,2,própria,pouco,não possui,3331,12,móveis/equipamentos,0
37,masculino,2,própria,não possui,não possui,7409,36,negócios,0
24,feminino,2,alugada,pouco,pouco,652,12,móveis/equipamentos,0
40,feminino,2,própria,bastante,não possui,7678,36,móveis/equipamentos,0
46,masculino,2,própria,pouco,rico,1343,6,carro,1
26,masculino,2,própria,moderado,pouco,1382,24,negócios,1
24,feminino,2,própria,não possui,não possui,874,15,eletrodomésticos,0
29,masculino,1,própria,pouco,pouco,3590,12,móveis/equipamentos,0
